text,intent,language
database kya hota hai,GENERAL,hinglish
Manali ka current weather kya hai,REAL_TIME,hinglish
Who was Albert Einstein?,GENERAL,english
latest football news kya hai,REAL_TIME,hinglish
quantum computing samjhao,GENERAL,hinglish
turn off dark mode,AUTOMATION,english
window maximize karo,AUTOMATION,hinglish
command prompt kholo,AUTOMATION,hinglish
recycle bin kholo,AUTOMATION,hinglish
Explain exception handling,GENERAL,english
check karke batao abhi weather kaisa hai,REAL_TIME,hinglish
object kya hota hai,GENERAL,hinglish
start chrome,AUTOMATION,english
open music folder,AUTOMATION,english
latest world news kya hai,REAL_TIME,hinglish
market ka current trend kya hai,REAL_TIME,hinglish
music pause karo,AUTOMATION,hinglish
dataset kya hota hai,GENERAL,hinglish
is it cold outside right now,REAL_TIME,english
when does the sun rise tomorrow,REAL_TIME,english
powershell kholo,AUTOMATION,hinglish
computer vision samjhao,GENERAL,hinglish
What is Python?,GENERAL,english
scroll up,AUTOMATION,english
calendar kholo,AUTOMATION,hinglish
resume the music,AUTOMATION,english
latest YouTube trend kya hai,REAL_TIME,hinglish
youtube launch karo,AUTOMATION,hinglish
open the start menu,AUTOMATION,english
What is a linked list?,GENERAL,english
vscode start karo,AUTOMATION,hinglish
launch chrome,AUTOMATION,english
what is the latest space news,REAL_TIME,english
latest Google news kya hai,REAL_TIME,hinglish
What is supervised learning?,GENERAL,english
What is photosynthesis?,GENERAL,english
regression kya hai,GENERAL,hinglish
What is frontend development?,GENERAL,english
What is electricity?,GENERAL,english
music band karo,AUTOMATION,hinglish
Docker kya hai,GENERAL,hinglish
aaj shaam ka forecast kya hai,REAL_TIME,hinglish
what is the gold price per gram today,REAL_TIME,english
sensor kya hota hai,GENERAL,hinglish
what is today's market closing,REAL_TIME,english
paste this file,AUTOMATION,english
is it hot outside right now,REAL_TIME,english
close the current window,AUTOMATION,english
AI ke baare mein latest news kya hai,REAL_TIME,hinglish
What is a sensor?,GENERAL,english
What is an activation function?,GENERAL,english
next cricket match kab hai,REAL_TIME,hinglish
close my browser,AUTOMATION,english
What is JavaScript?,GENERAL,english
screen brightness badhao,AUTOMATION,hinglish
Bangalore ka current weather kya hai,REAL_TIME,hinglish
What is a large language model?,GENERAL,english
Explain computer networks,GENERAL,english
object oriented programming samjhao,GENERAL,hinglish
What is a cell?,GENERAL,english
abhi traffic update kya hai,REAL_TIME,hinglish
what is the current exchange rate,REAL_TIME,english
theory of relativity samjhao,GENERAL,hinglish
downloads folder kholo,AUTOMATION,hinglish
natural language processing kya hai,GENERAL,hinglish
Explain clustering,GENERAL,english
what is the latest football score,REAL_TIME,english
computer shutdown karo,AUTOMATION,hinglish
chrome kholo,AUTOMATION,hinglish
youtube kholo,AUTOMATION,hinglish
please samjhao machine learning kya hai,GENERAL,hinglish
close the current application,AUTOMATION,english
tree kya hai,GENERAL,hinglish
vscode kholo,AUTOMATION,hinglish
latest India news batao,REAL_TIME,hinglish
aaj silver ka rate kya hai,REAL_TIME,hinglish
"Jarvis, chrome kholo please",AUTOMATION,hinglish
authentication kya hai,GENERAL,hinglish
classification kya hai,GENERAL,hinglish
cloud computing samjhao,GENERAL,hinglish
latest Nifty news kya hai,REAL_TIME,hinglish
notepad kholo,AUTOMATION,hinglish
what are the latest headlines,REAL_TIME,english
restart the application,AUTOMATION,english
latest stock market update kya hai,REAL_TIME,hinglish
current file save karo,AUTOMATION,hinglish
What is Big O notation?,GENERAL,english
check karke batao abhi weather kaisa hai aaj,REAL_TIME,hinglish
what is the current weather in Rishikesh,REAL_TIME,english
Explain artificial intelligence,GENERAL,english
display settings kholo,AUTOMATION,hinglish
is weekend kya ho raha hai,REAL_TIME,hinglish
What is Docker?,GENERAL,english
machine learning feature kya hota hai,GENERAL,hinglish
What is the solar system?,GENERAL,english
saara text select karo,AUTOMATION,hinglish
aaj business headlines kya hain,REAL_TIME,hinglish
Can you check what is the weather right now,REAL_TIME,english
aaj gold ka rate kya hai,REAL_TIME,hinglish
what is the latest Google news,REAL_TIME,english
What is inheritance?,GENERAL,english
what are the current standings,REAL_TIME,english
check karke batao abhi weather kaisa hai abhi,REAL_TIME,hinglish
convert today's dollar rate to rupees,REAL_TIME,english
last action undo karo,AUTOMATION,hinglish
inheritance kya hai,GENERAL,hinglish
What is an operating system?,GENERAL,english
what is the current bitcoin price,REAL_TIME,english
restart my computer,AUTOMATION,english
what is the current weather in Jaipur,REAL_TIME,english
debugging kya hoti hai,GENERAL,hinglish
HTTP kya hai,GENERAL,hinglish
please chrome kholo abhi,AUTOMATION,hinglish
open my browser,AUTOMATION,english
Delhi mein abhi temperature kya hai,REAL_TIME,hinglish
task manager kholo aur processes dikhao,AUTOMATION,hinglish
latest Microsoft news kya hai,REAL_TIME,hinglish
encapsulation kya hai,GENERAL,hinglish
please batao abhi weather kaisa hai,REAL_TIME,hinglish
abhi ka latest update kya hai,REAL_TIME,hinglish
open downloads,AUTOMATION,english
DNA kya hai,GENERAL,hinglish
current tab band karo,AUTOMATION,hinglish
decrease screen brightness,AUTOMATION,english
current standings kya hain,REAL_TIME,hinglish
minimize all windows,AUTOMATION,english
abhi oil ka price kya hai,REAL_TIME,hinglish
Explain gradient descent,GENERAL,english
aaj game kisne jeeta,REAL_TIME,hinglish
aaj kaun se events hain,REAL_TIME,hinglish
computer restart karo,AUTOMATION,hinglish
graph kya hai,GENERAL,hinglish
What is an Arduino?,GENERAL,english
what day is it today,REAL_TIME,english
latest technology news batao,REAL_TIME,hinglish
SQL kya hai,GENERAL,hinglish
HTML kya hai,GENERAL,hinglish
human brain kaise kaam karta hai,GENERAL,hinglish
what is the current weather in Hyderabad,REAL_TIME,english
wifi off karo,AUTOMATION,hinglish
what is the current fuel price,REAL_TIME,english
abhi storm hai kya,REAL_TIME,hinglish
what is Sensex doing today,REAL_TIME,english
file kholo,AUTOMATION,hinglish
what is the air quality right now,REAL_TIME,english
open bluetooth settings,AUTOMATION,english
What is Dart?,GENERAL,english
open display settings,AUTOMATION,english
What is a stack?,GENERAL,english
what are today's business headlines,REAL_TIME,english
What is an interpreter?,GENERAL,english
latest AI news kya hai,REAL_TIME,hinglish
who won today's match,REAL_TIME,english
large language model kya hai,GENERAL,hinglish
aaj ka match kisne jeeta,REAL_TIME,hinglish
Explain software engineering,GENERAL,english
play the next song,AUTOMATION,english
Explain quantum computing,GENERAL,english
open task manager and show processes,AUTOMATION,english
What is an embedding?,GENERAL,english
How does sorting work?,GENERAL,english
authorization kya hai,GENERAL,hinglish
"Jarvis, chrome kholo",AUTOMATION,hinglish
Tell me what is the weather right now today,REAL_TIME,english
What is a graph?,GENERAL,english
tell me something about neural networks,GENERAL,english
tell me about databases,GENERAL,english
why do we use databases,GENERAL,english
why are neural networks useful,GENERAL,english
how does a compiler work,GENERAL,english
can you explain machine learning,GENERAL,english
tell me how APIs work,GENERAL,english
why is Python popular,GENERAL,english
what is the purpose of normalization,GENERAL,english
explain the concept of inheritance,GENERAL,english
how does backpropagation work,GENERAL,english
why do we need operating systems,GENERAL,english
tell me about object oriented programming,GENERAL,english
what is the difference between AI and ML,GENERAL,english
how does encryption work,GENERAL,english
why do we use version control,GENERAL,english
can you explain recursion,GENERAL,english
what is the purpose of an API,GENERAL,english
how does a database work,GENERAL,english
tell me about computer networks,GENERAL,english
neural networks ke baare mein batao,GENERAL,hinglish
databases ke baare mein batao,GENERAL,hinglish
hum databases kyun use karte hain,GENERAL,hinglish
neural networks useful kyun hain,GENERAL,hinglish
compiler kaise kaam karta hai,GENERAL,hinglish
machine learning samjha do,GENERAL,hinglish
API kaise kaam karti hai,GENERAL,hinglish
Python itni popular kyun hai,GENERAL,hinglish
normalization ka purpose kya hai,GENERAL,hinglish
inheritance ka concept samjhao,GENERAL,hinglish
backpropagation kaise kaam karta hai,GENERAL,hinglish
operating system ki zarurat kyun hoti hai,GENERAL,hinglish
OOP ke baare mein batao,GENERAL,hinglish
AI aur ML mein kya difference hai,GENERAL,hinglish
encryption kaise kaam karti hai,GENERAL,hinglish
version control kyun use karte hain,GENERAL,hinglish
recursion samjhao,GENERAL,hinglish
API ka purpose kya hai,GENERAL,hinglish
database kaise kaam karta hai,GENERAL,hinglish
computer networks ke baare mein batao,GENERAL,hinglish
why do we use Python,GENERAL,english
use Python to open the calculator,AUTOMATION,english
what is the weather system,GENERAL,english
what is the weather right now,REAL_TIME,english
why do we use databases,GENERAL,english
why are databases important,GENERAL,english
what is the purpose of a database,GENERAL,english
why do applications use databases,GENERAL,english
what does a database do,GENERAL,english
why do we need databases,GENERAL,english
how do databases work,GENERAL,english
what is a database used for,GENERAL,english
why are databases useful,GENERAL,english
what is the role of a database,GENERAL,english
database ka use kyun karte hain,GENERAL,hinglish
database ki zarurat kyun hoti hai,GENERAL,hinglish
database kya kaam karta hai,GENERAL,hinglish
database important kyun hai,GENERAL,hinglish
application mein database kyun use hota hai,GENERAL,hinglish
database ka purpose kya hai,GENERAL,hinglish
database kaise kaam karta hai,GENERAL,hinglish
hame database ki zarurat kyun hai,GENERAL,hinglish
database ka use kya hota hai,GENERAL,hinglish
database useful kyun hai,GENERAL,hinglish
what is an API,GENERAL,english
what does an API do,GENERAL,english
why do we use APIs,GENERAL,english
how does an API work,GENERAL,english
what is the purpose of an API,GENERAL,english
explain APIs,GENERAL,english
why are APIs important,GENERAL,english
API ka use kyun karte hain,GENERAL,hinglish
API kya hota hai,GENERAL,hinglish
API kya kaam karta hai,GENERAL,hinglish
API kaise kaam karta hai,GENERAL,hinglish
what is Chrome,GENERAL,english
what is a browser,GENERAL,english
how does Chrome work,GENERAL,english
what is a calculator,GENERAL,english
what is screen brightness,GENERAL,english
what is YouTube,GENERAL,english
why do we use browsers,GENERAL,english
open Chrome,AUTOMATION,english
launch Chrome,AUTOMATION,english
Chrome kholo,AUTOMATION,hinglish
calculator open karo,AUTOMATION,hinglish
open YouTube,AUTOMATION,english
YouTube kholo,AUTOMATION,hinglish
increase brightness,AUTOMATION,english
brightness kam karo,AUTOMATION,hinglish
open the browser,AUTOMATION,english
launch calculator,AUTOMATION,english
